1730082281.286529 client started (5295): version 3.3a, socket /private/tmp/tmux-501/default, protocol 8
1730082281.286608 on Darwin 22.6.0 Darwin Kernel Version 22.6.0: Fri Sep 15 13:41:30 PDT 2023; root:xnu-8796.141.3.700.8~1/RELEASE_ARM64_T8103
1730082281.287110 using libevent 2.1.12-stable (select); utf8proc 2.9.0; ncurses 6.4
1730082281.287147 flags are 0x10010000
1730082281.287159 socket is /private/tmp/tmux-501/default
1730082281.287180 trying connect
1730082281.287244 add peer 0x130048000: 6 (0x0)
1730082281.291066 sending message 100 to peer 0x130048000 (4 bytes)
1730082281.291085 sending message 111 to peer 0x130048000 (8 bytes)
1730082281.291096 sending message 101 to peer 0x130048000 (15 bytes)
1730082281.291106 sending message 109 to peer 0x130048000 (4 bytes)
1730082281.291115 sending message 102 to peer 0x130048000 (13 bytes)
1730082281.291124 sending message 108 to peer 0x130048000 (25 bytes)
1730082281.291133 sending message 112 to peer 0x130048000 (58 bytes)
1730082281.291142 sending message 112 to peer 0x130048000 (5 bytes)
1730082281.291151 sending message 112 to peer 0x130048000 (5 bytes)
1730082281.291160 sending message 112 to peer 0x130048000 (6 bytes)
1730082281.291169 sending message 112 to peer 0x130048000 (6 bytes)
1730082281.291178 sending message 112 to peer 0x130048000 (11 bytes)
1730082281.291186 sending message 112 to peer 0x130048000 (10 bytes)
1730082281.291195 sending message 112 to peer 0x130048000 (13 bytes)
1730082281.291204 sending message 112 to peer 0x130048000 (14 bytes)
1730082281.291213 sending message 112 to peer 0x130048000 (19 bytes)
1730082281.291222 sending message 112 to peer 0x130048000 (11 bytes)
1730082281.291231 sending message 112 to peer 0x130048000 (10 bytes)
1730082281.291239 sending message 112 to peer 0x130048000 (15 bytes)
1730082281.291248 sending message 112 to peer 0x130048000 (21 bytes)
1730082281.291257 sending message 112 to peer 0x130048000 (13 bytes)
1730082281.291266 sending message 112 to peer 0x130048000 (7 bytes)
1730082281.291274 sending message 112 to peer 0x130048000 (13 bytes)
1730082281.291283 sending message 112 to peer 0x130048000 (7 bytes)
1730082281.291292 sending message 112 to peer 0x130048000 (13 bytes)
1730082281.291301 sending message 112 to peer 0x130048000 (9 bytes)
1730082281.291309 sending message 112 to peer 0x130048000 (21 bytes)
1730082281.291318 sending message 112 to peer 0x130048000 (13 bytes)
1730082281.291327 sending message 112 to peer 0x130048000 (9 bytes)
1730082281.291336 sending message 112 to peer 0x130048000 (16 bytes)
1730082281.291344 sending message 112 to peer 0x130048000 (13 bytes)
1730082281.291353 sending message 112 to peer 0x130048000 (9 bytes)
1730082281.291362 sending message 112 to peer 0x130048000 (9 bytes)
1730082281.291370 sending message 112 to peer 0x130048000 (12 bytes)
1730082281.291379 sending message 112 to peer 0x130048000 (8 bytes)
1730082281.291388 sending message 112 to peer 0x130048000 (8 bytes)
1730082281.291396 sending message 112 to peer 0x130048000 (13 bytes)
1730082281.291405 sending message 112 to peer 0x130048000 (7 bytes)
1730082281.291413 sending message 112 to peer 0x130048000 (7 bytes)
1730082281.291422 sending message 112 to peer 0x130048000 (9 bytes)
1730082281.291431 sending message 112 to peer 0x130048000 (9 bytes)
1730082281.291439 sending message 112 to peer 0x130048000 (15 bytes)
1730082281.291448 sending message 112 to peer 0x130048000 (13 bytes)
1730082281.291457 sending message 112 to peer 0x130048000 (12 bytes)
1730082281.291465 sending message 112 to peer 0x130048000 (8 bytes)
1730082281.291474 sending message 112 to peer 0x130048000 (14 bytes)
1730082281.291483 sending message 112 to peer 0x130048000 (11 bytes)
1730082281.291491 sending message 112 to peer 0x130048000 (9 bytes)
1730082281.291500 sending message 112 to peer 0x130048000 (10 bytes)
1730082281.291509 sending message 112 to peer 0x130048000 (10 bytes)
1730082281.291517 sending message 112 to peer 0x130048000 (10 bytes)
1730082281.291526 sending message 112 to peer 0x130048000 (10 bytes)
1730082281.291535 sending message 112 to peer 0x130048000 (11 bytes)
1730082281.291558 sending message 112 to peer 0x130048000 (12 bytes)
1730082281.291564 sending message 112 to peer 0x130048000 (12 bytes)
1730082281.291571 sending message 112 to peer 0x130048000 (12 bytes)
1730082281.291577 sending message 112 to peer 0x130048000 (12 bytes)
1730082281.291583 sending message 112 to peer 0x130048000 (12 bytes)
1730082281.291589 sending message 112 to peer 0x130048000 (11 bytes)
1730082281.291595 sending message 112 to peer 0x130048000 (11 bytes)
1730082281.291601 sending message 112 to peer 0x130048000 (12 bytes)
1730082281.291607 sending message 112 to peer 0x130048000 (12 bytes)
1730082281.291613 sending message 112 to peer 0x130048000 (12 bytes)
1730082281.291619 sending message 112 to peer 0x130048000 (12 bytes)
1730082281.291625 sending message 112 to peer 0x130048000 (12 bytes)
1730082281.291631 sending message 112 to peer 0x130048000 (9 bytes)
1730082281.291637 sending message 112 to peer 0x130048000 (12 bytes)
1730082281.291643 sending message 112 to peer 0x130048000 (13 bytes)
1730082281.291649 sending message 112 to peer 0x130048000 (13 bytes)
1730082281.291655 sending message 112 to peer 0x130048000 (13 bytes)
1730082281.291661 sending message 112 to peer 0x130048000 (13 bytes)
1730082281.291667 sending message 112 to peer 0x130048000 (13 bytes)
1730082281.291673 sending message 112 to peer 0x130048000 (8 bytes)
1730082281.291679 sending message 112 to peer 0x130048000 (11 bytes)
1730082281.291685 sending message 112 to peer 0x130048000 (11 bytes)
1730082281.291691 sending message 112 to peer 0x130048000 (11 bytes)
1730082281.291697 sending message 112 to peer 0x130048000 (12 bytes)
1730082281.291703 sending message 112 to peer 0x130048000 (12 bytes)
1730082281.291709 sending message 112 to peer 0x130048000 (12 bytes)
1730082281.291715 sending message 112 to peer 0x130048000 (12 bytes)
1730082281.291721 sending message 112 to peer 0x130048000 (13 bytes)
1730082281.291727 sending message 112 to peer 0x130048000 (13 bytes)
1730082281.291733 sending message 112 to peer 0x130048000 (13 bytes)
1730082281.291739 sending message 112 to peer 0x130048000 (8 bytes)
1730082281.291745 sending message 112 to peer 0x130048000 (13 bytes)
1730082281.291751 sending message 112 to peer 0x130048000 (13 bytes)
1730082281.291757 sending message 112 to peer 0x130048000 (13 bytes)
1730082281.291763 sending message 112 to peer 0x130048000 (13 bytes)
1730082281.291769 sending message 112 to peer 0x130048000 (13 bytes)
1730082281.291775 sending message 112 to peer 0x130048000 (12 bytes)
1730082281.291781 sending message 112 to peer 0x130048000 (12 bytes)
1730082281.291787 sending message 112 to peer 0x130048000 (12 bytes)
1730082281.291793 sending message 112 to peer 0x130048000 (12 bytes)
1730082281.291799 sending message 112 to peer 0x130048000 (13 bytes)
1730082281.291805 sending message 112 to peer 0x130048000 (8 bytes)
1730082281.291811 sending message 112 to peer 0x130048000 (13 bytes)
1730082281.291817 sending message 112 to peer 0x130048000 (13 bytes)
1730082281.291823 sending message 112 to peer 0x130048000 (13 bytes)
1730082281.291829 sending message 112 to peer 0x130048000 (13 bytes)
1730082281.291835 sending message 112 to peer 0x130048000 (13 bytes)
1730082281.291841 sending message 112 to peer 0x130048000 (13 bytes)
1730082281.291847 sending message 112 to peer 0x130048000 (13 bytes)
1730082281.291852 sending message 112 to peer 0x130048000 (12 bytes)
1730082281.291858 sending message 112 to peer 0x130048000 (12 bytes)
1730082281.291864 sending message 112 to peer 0x130048000 (12 bytes)
1730082281.291870 sending message 112 to peer 0x130048000 (8 bytes)
1730082281.291876 sending message 112 to peer 0x130048000 (12 bytes)
1730082281.291882 sending message 112 to peer 0x130048000 (13 bytes)
1730082281.291888 sending message 112 to peer 0x130048000 (13 bytes)
